,en,zh,es,hi,ar,pt,ru,ja,jv,de,ko,fr,te,it,tl
passwords,Passwords,密码,Contraseñas,पासवर्डों,كلمات المرور,Senhas,Пароли,パスワード,Tembung sandhi,Kennwörter,암호,Mots de passe,పాస్వర్డ్లు,Le password,Mga Password
sewing,Sewing,缝纫,De coser,सिलाई,خياطة,De costura,Шитье,縫い,Sewing,Nähen,재봉,Couture,కుట్టుపని,Cucire,Pananahi
consistency,Consistency,一致性,Consistencia,संगतता,تناسق,Consistência,Последовательность,一貫性,Konsistensi,Konsistenz,일관성,Cohérence,స్థిరత్వం,Consistenza,Hindi pagbabago
collectors,Collectors,收藏家,Coleccionistas,कलेक्टरों,جامعي,Colecionadores,Коллекционеры,コレクターズ,Kolektor,Sammler,수집가,Collectionneurs,కలెక్టర్లు,Collezionisti,Mga kolektor
conclude,Conclude,得出结论,Concluir,निष्कर्ष निकालना,نستنتج,Concluir,Вывод,結論,Nyimpulake,Daraus schließen,끝내다,Conclure,ముగింపు,Concludere,Kumusta
recognised,Recognised,认识到,Reconocido,मान्यता प्राप्त,معروف,Reconhecido,Признанный,認識された,Dikenali,Anerkannt,인정했다,Reconnu,గుర్తింపు పొందింది,Riconosciuto,Kinikilala
munich,Munich,慕尼黑,Munich,म्यूनिख,ميونيخ,Munique,Мюнхен,ミュンヘン,Munich,München,뮌헨,Munich,మనిచ్,Monaco,Munich.
oman,Oman,阿曼,Omán,ओमान,سلطنة عمان,Omã,Оман,オマーン,Oman,Oman,오만,Oman,ఒమన్,Oman,Oman.
celebs,Celebs,名字,Celebridades,हस्तियां,المشاهير,Celebridades,Знаменитость,セレブ,Celebs,Promis,기수,Célébrités,ప్రముఖులు,Celebrità,Celebs.
gmc,Gmc,GMC,GMC,जीएमसी,جي ام سي,Gmc.,GMC.,GMC.,GMC,GMC,GMC.,GMC,Gmc.,GMC.,GMC.
propose,Propose,提出,Proponer,का प्रस्ताव,اقترح,Propor,Предлагать,提案する,Propose,Vorschlagen,제안하다,Proposer,ప్రతిపాదన,Proporre,Magpanukala
hh,Hh,HH.,S.S,एचएच,ح ح,Hh.,HH.,HH,Hh,Hoh,호,Hh,Hh.,Hh.,HH.
azerbaijan,Azerbaijan,阿塞拜疆,Azerbaiyán,आज़रबाइजान,أذربيجان,Azerbaijão,Азербайджан,アゼルバイジャン,Azerbaijan,Aserbaidschan,아제르바이잔,Azerbaïdjan,అజర్బైజాన్,Azerbaijan.,Azerbaijan
lighter,Lighter,打火机,Encendedor,लाइटर,ولاعة,Mais leve,Легче,ライター,Luwih entheng,Feuerzeug,거룻배,Briquet,తేలికైన,Accendino,Mas magaan
rage,Rage,愤怒,Rabia,तेज़ी,غضب,Fúria,Ярость,怒気,Nesu,Wut,격노,Rage,Rage.,Rabbia,Rage.
adsl,Adsl,ADSL.,Adsl,एडीएसएल,adsl,Adsl.,Adsl,ADSL,Adsl,ADSL.,adsl.,Adsl,ప్రకటనలు,Adsl.,ADSL.
uh,Uh,呃,Oh,उह,أوه,Uh,Эм-м-м,u,Uh,Äh,음,Euh,Uh.,Uh.,Uh.
prix,Prix,pr,Prix,प्रिक्स,براكس,Prix.,Приоритет,pr,Prix,Prix,PRIX.,Prix,ప్రక్షాళన,Prix.,Prix
astrology,Astrology,占星术,Astrología,ज्योतिष,علم التنجيم,Astrologia,Астрология,占星術,Astrologi,Astrologie,점성학,Astrologie,జ్యోతిషశాస్త్రం,Astrologia,Astrolohiya
advisors,Advisors,顾问,Asesores,सलाहकार,المستشارون,Assessores.,Советники,アドバイザー,Penasihat,Berater,고문,Conseillers,సలహాదారులు,Consulenti,Mga tagapayo
pavilion,Pavilion,亭,Pabellón,मंडप,جناح,Pavilhão,Павильон,パビリオン,Pavilion,Pavillon,누각,Pavillon,పెవిలియన్,Padiglione,Pavilion.
tactics,Tactics,策略,Táctica,युक्ति,التكتيكات,Táticas,Тактика,戦術,Taktik,Taktik,전술,Tactique,వ్యూహాలు,Tattiche,Taktika
trusts,Trusts,信任,Fideicomisos,न्यास,يثق,Confiança,Доверие,信頼する,Kepercayaan,Vertrauen,신탁,Fiducies,ట్రస్ట్స్,Trust,Pinagkakatiwalaan
occurring,Occurring,发生,Que ocurre,घटनेवाला,تحدث,Ocorrendo,Происходит,occur,Kedadeyan,Auftreten,일어난다,Survenant,సంభవించే,Si verificano,Nagaganap
supplemental,Supplemental,补充,Hecho suplementario,पूरक,تكميلية,Suplementar,Дополнительный,補足の,Suplemen,Ergänzend,보충제,Supplémentaire,అనుబంధం,Supplementare,Supplemental.
travelling,Travelling,旅行,De viaje,यात्रा का,سفر,Viajando,Путешествие,旅行,Lelungan,Reisen,여행,En voyageant,ప్రయాణిస్తున్న,In viaggio,Naglalakbay
talented,Talented,才华横溢的,Talentoso,प्रतिभावान,موهوب,Talentoso,Талантливый,才能,Bakat,Talentiert,재간 있는,Talentueux,ప్రతిభావంతులైన,Talentuoso,Talented.
annie,Annie,安妮,Annie,एनी,آني,Annie,Энни,アニー,Annie,Annie,아연,Annie,అన్నీ,Annie.,Annie.
pillow,Pillow,枕头,Almohada,तकिया,وسادة,Almofada,Подушка,まくら,Bantal,Kopfkissen,베개,Oreiller,దిండు,Cuscino,Unan
induction,Induction,就职,Inducción,प्रवेश,الحث,Indução,Индукция,誘導,Induksi,Induktion,유도,Induction,ఇండక్షన్,Induzione,Induction
derek,Derek,Derek.,Derek,डेरेक,ديريك,Derek.,Дерек,デレク,Derek,Derek,데릭,Dreek,డెరెక్,Derek.,Derek.
precisely,Precisely,恰恰,Precisamente,सटीक रूप से,بدقة,Precisamente,Точно,正確に,Tepat,Genau,정확하게,Précisément,ఖచ్చితంగా,Precisamente,Tiyak
shorter,Shorter,较短,Más corta,छोटा,أقصر,Mais curta,Короче,短いほど,Luwih cendhek,Kürzer,짧은,Plus court,Shorter.,Più corto,Mas maikli
harley,Harley,哈利,Harley,हार्ले,هارلي,Harley.,Гарли.,ハーレー,Harley,Harley.,할리,Harline,హర్లే,Harley.,Harley
spreading,Spreading,传播,Extensión,प्रसार,انتشار,Espalhando-se,Распространение,伸び,Nyebar,Verbreitung,퍼짐,Diffusion,వ్యాపించడం,Diffusione,Pagkalat
provinces,Provinces,省份,Provincias,प्रांतों,المحافظات,Províncias,Провинции,勢い,Provinsi,Provinzen,지방,Provinces,ప్రోవిన్స్లు,Province,Probinsya
relying,Relying,依托,Confiado,भरोसा,الاعتماد,Confiar,Полагаться,尊厳,Nganggo,Verwirren,의지,Qui s'appuie,ఆధారపడటం,Affidamento,Umaasa
finals,Finals,决赛,Finales,फाइनल,نهائيات,Finais,Финал,決勝戦,Akhir,Finale,결승,Finales,ఫైనల్స్,Finale,Finals.
paraguay,Paraguay,巴拉圭,Paraguay,परागुआ,باراجواي,Paraguai,Парагвай,パラグアイ,Paraguay,Paraguay,파라과이,Paraguay,పరాగ్వే,Paraguay.,Paraguay.
steal,Steal,偷,Robar,चुराना,يسرق,Roubar,Воровать,窃盗,Nyolong,Stehlen,훔치다,Voler,దొంగలించు,Rubare,Magnakaw
parcel,Parcel,包裹,Paquete o empaquetar,पार्सल,قطعة,Parcela,Посылка,小包,Parcel,Paket,소포,Colis,పార్సెల్,Pacco,Parcel.
refined,Refined,精制,Refinado,परिशोधित,مشتق,Refinado,Рафинировано,洗練された,Olahan,Raffiniert,세련된,Raffiné,శుద్ధి చేయబడింది,Raffinato,Pino
fd,Fd,FD.,Fd,एफडी,فد,FD.,Фен,f,FD,FD,...에 FD.,Fd,ఎఫ్ డి,Fd.,FD.
bo,Bo,博,Bo,बो,بوع,Bo.,Боевик,bo,Bo,Bo.,악,Board,Bo.,Bo.,Bo.
fifteen,Fifteen,十五,Quince,पंद्रह,خمسة عشر,Quinze,Пятнадцать,15,Limalas,Fünfzehn,열 다섯,Quinze,పదిహేను,Quindici,Labinlimang
widespread,Widespread,广泛,Generalizado,बड़े पैमाने पर,واسع الانتشار,Difundido,Широко распространенный,広範囲にわたる,Nyebar,Weit verbreitet,펼친,Répandu,వైడ్రెడ్,Molto diffuso,Malawak
incidence,Incidence,发病率,Incidencia,घटना,سقوط,Incidência,Заболевание,入射,Incidence,Vorfall,투사,Incidence,సంభవం,Incidenza,Insidente
fears,Fears,恐惧,Miedo,आशंका,مخاوف,Medos,Опасения,恐ろしい,Wedi,Ängste,두려움,Peurs,భయాలు,Paure,Takot
predict,Predict,预测,Predecir,भविष्यवाणी करना,يتنبأ,Prever,Предсказывать,予測する,Prédhiksi,Vorhersagen,예측하다,Prédire,ఊహించు,Prevedere,Hulaan
boutique,Boutique,精品店,Boutique,बूटिक,متجر,Boutique.,Бутик,ブティック,Butik,Boutique,부티크,Boutique,బోటిక్,Boutique.,Boutique.
acrylic,Acrylic,丙烯酸纤维,Acrílico,ऐक्रेलिक,الاكريليك,Acrílico,Акрил,アクリル,Akrilik,Acryl,아크릴,Acrylique,యాక్రిలిక్,Acrilico,Acrylic.
rolled,Rolled,滚动,Arrollado,लुढ़का,توالت,Rolou,Прокат,巻きつく,Digulung,Gerollt,굴림,Roulé,గాయపడిన,Lanciato,Pinagsama
tuner,Tuner,调谐器,Sintonizador,ट्यूनर,موالف,Sintonizador,Тюнер,チューナー,Tuner,Tuner,조율사,Tuner,జీవ కణము,Sintonizzatore,Tuner
avon,Avon,雅芳,Avon,एवन,آفون,Avon.,Авон,エイボン,Avon,Avon.,에이전,Avon,అవాన్,Avon.,Avon.
incidents,Incidents,事件,Incidentes,घटनाएं,الحوادث,Incidentes,Инциденты,インシデント,Kedadean,Vorfälle,사건,Incidents,సంఘటనలు,Incidenti,Mga insidente
peterson,Peterson,彼得森,Peterson,पीटरसन,بيترسون,Peterson.,Петерсон,ピーターソン,Peterson,Peterson,피터슨,Peterson,పీటర్సన్,Peterson.,Peterson
rays,Rays,光线,Rayos,किरणों,أشعة,Raios,Лучи,光線,Sinar,Strahlen,광선,Des rayons,కిరణములు,Raggi,Rays.
asn,Asn,asn.,Asb,एएसएन,asn.,Asn.,Асн,ASN,Asn,Asyn,asn.,Asn,Asn.,Asn.,Asn.
shannon,Shannon,香农,Shannon,SHANNON,شانون,Shannon.,Шеннон,シャノン,Shannon,Shannon,섀넌,Shannon,షానోన్,Shannon.,Shannon
toddler,Toddler,学步的儿童,Niño pequeño,बच्चा,طفل صغير,Criança pequena,"Ребенок, начинающий ходить",幼児,Toddler,Kleinkind,유아,Tout-petit,Toddler.,Bambino che fa i primi passi,Toddler.
enhancing,Enhancing,加强,Mejora,बढ़ाने,تحسين,Melhorando,Усиление,enh enh,Nambah,Verbesserung,강화,Améliorant,మెరుగుపరచడం,Migliorare,Pagpapahusay
flavor,Flavor,味道,Sabor,स्वाद,نكهة,Sabor,Вкус,香り,Roso,Geschmack,맛,Saveur,ఆనందం,Gusto,Lasa
alike,Alike,一样,Similar,एक जैसे,على حد سواء,Parecido,Одинаково,似た,Alike,Wie,서로 같은,Ressemblent,అలైక్,Nello stesso modo,Magkapareho
walt,Walt,沃尔特,Walt,वाल्ट,ويل,Walt.,Вольт,wal wal,Walt,Walt,월트,Walt,వాల్ట్,Walt.,Walt.
homeless,Homeless,无家可归,Sin hogar,बेघर,بلا مأوى,Sem casa,Бездомный,ホームレスの,Ora duwe omah,Obdachlos,노숙자,Sans abri,నిరాశ్రయులయ్యారు,Senzatetto,Walang bahay
horrible,Horrible,可怕,Horrible,भयंकर,فظيع,Horrível,Ужасный,最悪,Nggegirisi,Schrecklich,끔찍한 일,Horrible,భయంకరమైన,Orribile,Kakila-kilabot
hungry,Hungry,饥饿的,Hambriento,भूखा,جوعان,Com fome,Голодный,お腹がすいた,Luwe,Hungrig,배고픈,Faim,ఆకలితో,Affamato,Gutom
metallic,Metallic,金属,Metálico,धातु का,المعدنية,Metálico,Металлический,金属製,Metallic,Metallisch,금속의,Métallique,మెటాలిక్,Metallico,Metal.
acne,Acne,粉刺,Acné,मुंहासा,حب الشباب,Acne,Прыщи,にきび,Kukul,Akne,좌창,Acné,మోటిమలు,Acne,Acne.
blocked,Blocked,湮没,Obstruido,अवरोधित,منعت,Bloqueado,Заблокирован,ブロックされた,Diblokir,verstopft,막힌,Bloqué,నిరోధించబడింది,Bloccato,Hinarangan
interference,Interference,干涉,Interferencia,दखल अंदाजी,التشوش,Interferência,Помехи,干渉,Gangguan,Interferenz,간섭,Ingérence,జోక్యం,Interferenze,Panghihimasok
warriors,Warriors,勇士队,Guerreros,योद्धा की,المحاربون,Guerreiros,Воины,戦士,Prajurit,Krieger,전사들,Guerriers,వారియర్స్,Guerrieri,Warriors.
palestine,Palestine,巴勒斯坦,Palestina,फिलिस्तीन,فلسطين,Palestina,Палестина,パレスチナ,Palestina,Palästina,팔레스타인,Palestine,పాలస్తీనా,Palestina,Palestine
listprice,Listprice,价格表,Precio de lista,मूल्य सूची,قائمة الأسعار,Listprice.,Список цен,定価,Listprice,Listenpreis,목록,Liste des prix,జాబితా ధర,Prezzo di listino,Listahan ng Presyo
libs,Libs,libs.,Libs,लिब्स,ليبس,Libs.,Либей,libs.,Lib,Erbärmlich,라이브러리,Libs,లిబ్లు,Libs.,Libs.
undo,Undo,撤消,Deshacer,पूर्ववत,الغاء التحميل,Desfazer,Отменить,元に戻す,Mbusak,Rückgängig machen,실행 취소,annuler,అన్డు,Disfare,Pawalang-bisa
cadillac,Cadillac,卡迪拉克,Cadillac,कैडिलैक,كاديلاك,Cadillac.,Кадиллак,キャデラック,Cadillac,Cadillac.,캐딜락,Cadillac,కాడిలాక్,Cadillac.,Cadillac.
atmospheric,Atmospheric,大气,Atmosférico,वायुमंडलीय,في الغلاف الجوي,Atmosférico,Атмосферный,大気,Atmosfer,Atmosphärisch,대기 중,Atmosphérique,వాతావరణం,Atmosferico,Atmospheric.
malawi,Malawi,马拉维,Malawi,मलावी,ملاوي,Malawi.,Малави,マラウイ,Malawi,Malawi,말라위,Malawi,మాలావి,Malawi.,Malawi
wm,Wm,浪,WM,डब्ल्यूएम,واهن,Wm.,Сразу,wm.,Wm,WM,WM.,Wm,Wm.,Wm.,Wm.
pk,Pk,PK.,Paquete,पी,PK.,Pk.,Пк,p,Pk,NS,흑인,Paquet,Pk.,Pk.,PK
sagem,Sagem,Sagem.,Sagem,ऋषि,sagem.,Sagem.,Сагем,s,Sagem,Sagem,사건,Sagem,సాగదీయు,Sagamano,Sagem
knowledgestorm,Knowledgestorm,知识为止,Conocimiento,आपकी साइट को जमा,معرفة الديمقراطية,Knowledestorm.,Знание Глюда,知っている努力,Mangertosgorm,Kenntnisse,knowledgestorg.,Savoir savoir,Knowlsgestorm.,Consapevolezza,Kaalaman
dana,Dana,达娜,Dana,दाना,دانا,Dana,Дана,ダナ,Dana,Dana.,다나,Dana,డానా,Dana,Dana
halo,Halo,光环,aureola,प्रभामंडल,هالة,aréola,Гало,ハロー,Halo,Heiligenschein,후광,Halo,వృత్తాన్ని,Alone,Halo
ppm,Ppm,PPM.,Ppm,पीपीएम,PPM,Ppm.,Промежуток,PPM,Ppm,Ppm,PPM.,Ppm,Ppm.,PPM,PPM.
curtis,Curtis,柯蒂斯,Curtis,कर्टिस,كورتيس,Curtis.,Куктис,カーティス,Curtis,Curtis,커티스,Curtis,కర్టిస్,Curtis,Curtis.
parental,Parental,父母,De los padres,पैतृक,أبوي,Parental,Родительский,par par,Parental,Elterliche,부모님,Parental,తల్లిదండ్రుల,Genitore,Parental.
referenced,Referenced,参考文献,Referenciado,संदर्भित,المشار إليها,Referenciado,Ссылается,参照される,Referensi,Referenziert.,참조,Référencé,ప్రస్తావించబడినది,Referenziato,Na-refer
strikes,Strikes,罢省,Huelgas,हड़तालों,ضربات,Greves.,Удары,ストライキー,Serangan,Streiks,파업,Grèves,స్ట్రైక్స్,Strikes.,Strikes
lesser,Lesser,较小者,Menor,कमतर,أقل,Menor,Меньший,より少ないです,Kurang,Kleiner,보다 작은,Moindre,కొంచెం తక్కువ,Minore,Mas maliit
publicity,Publicity,宣传,Publicidad,प्रचार,شهره اعلاميه,Publicidade,Реклама,宣伝,Publisitas,Werbung,널리 알려짐,Publicité,ప్రచారం,Pubblicità,Publisidad
marathon,Marathon,马拉松,Maratón,मैराथन,الماراثون,Maratona,Марафон,マラソン,Marathon,Marathon,마라톤,Marathon,మారథాన్,Maratona,Marathon.
ant,Ant,蚂蚁,Hormiga,चींटी,النمل,Formiga,Муравей,蟻,Ant,Ameise,개미,Fourmi,చీమ,Formica,Ant
proposition,Proposition,主张,Proposición,प्रस्ताव,اقتراح,Proposição,Предсказание,命題,Proposal,Vorschlag,제안,Proposition,ప్రతిపాదన,Proposizione,Proposisyon
gays,Gays,同性恋,Gays,समलैंगिक,جنسيا,Gays.,Гейс,g g,Gays,Schwule,게이들,Gays,గేస్,Gays.,Gays.
pressing,Pressing,紧迫,Prensado,दबाना,الضغط على,Pressionando,Прессование,押し,Mencet,Drücken,압박,Pressage,నొక్కడం,Pressatura,Pagpindot
